Value	Count	Classification	Keys
8	10	distinct-configurable-fact	MIOS_DISPATCH_BATCH_MAX_SIZE,MIOS_DISPATCH_FANOUT_SELECT_TIMEOUT_S,MIOS_DISPATCH_MAX_SOURCES,MIOS_FINETUNE_GRAD_ACCUM,MIOS_OS_CONTROL_TILE_GAP_PX,MIOS_PGVECTOR_POOL_MAX,MIOS_PG_POOL_MAX,MIOS_PREFLIGHT_MIN_RAM_GB,MIOS_SCHED_URGENCY_DISPATCH_FLOOR,MIOS_SKILLS_MAX_LENGTH
mios-heavy	10	distinct-configurable-fact	MIOS_AGENTS_HERMES_CPU_MODEL,MIOS_AGENTS_HERMES_MODEL,MIOS_AGENTS_MIOS_DAEMON_AGENT_MODEL,MIOS_NODES_LOCAL_CPU_MODEL,MIOS_NODES_LOCAL_DGPU_MODEL,MIOS_NODES_LOCAL_LLAMASWAP_MODEL,MIOS_NODES_LOCAL_SGLANG_MODEL,MIOS_NODES_LOCAL_VLLM_MODEL,MIOS_SGLANG_SERVED_NAME,MIOS_VLLM_SERVED_NAME
12	8	distinct-configurable-fact	MIOS_AI_RAM_FLOOR_GB,MIOS_BUILD_AI_RAM_FLOOR_GB,MIOS_DISPATCH_CUA_MAX_STEPS,MIOS_DISPATCH_DEEPEN_ITERS,MIOS_DISPATCH_SLOW_LANE_TOOL_CAP,MIOS_FORGE_VERSION,MIOS_VM_WIN11_VCPUS,MIOS_WEB_RESEARCH_SLUG_MIN_LEN
5	8	distinct-configurable-fact	MIOS_AGENT_PIPE_QUALITY_MIN_LENGTH,MIOS_AGENT_PIPE_REPLAN_MAX,MIOS_FIND_CATEGORY_PRIORITY_AGENT_CLI,MIOS_KNOWLEDGE_HOT_THRESHOLD,MIOS_MEMORY_TOOL_RESULT_TTL_TURNS,MIOS_RELIABILITY_PASS_AND_K_DGM_COUNT,MIOS_SCHED_URGENCY_DEFAULT,MIOS_SELFIMPROVE_MIN_SAMPLES
auto	8	distinct-configurable-fact	MIOS_BOOTSTRAP_MODE,MIOS_COMPUTER_USE_CAPTURE_BACKEND,MIOS_COMPUTER_USE_INPUT_BACKEND,MIOS_ENHANCED_SESSION_RESOLUTION,MIOS_FINETUNE_DEVICE,MIOS_FINETUNE_LOAD_IN_4BIT,MIOS_FINETUNE_TARGET_MODULES,MIOS_POWER_UPS_PORT
gpu	8	true-alias	MIOS_AGENTS_HERMES_LANE,MIOS_AGENTS_OPENCODE_LANE,MIOS_AGENTS__DEFAULTS_LANE,MIOS_NODES_LOCAL_CPU_LANE,MIOS_NODES_LOCAL_DGPU_LANE,MIOS_NODES_LOCAL_LLAMASWAP_LANE,MIOS_NODES_LOCAL_SGLANG_LANE,MIOS_NODES_LOCAL_VLLM_LANE
granite4.1:8b	8	true-alias	MIOS_AGENT_PIPE_TOOL_BACKEND_MODEL,MIOS_AI_MODEL,MIOS_FINETUNE_BASE_MODEL,MIOS_FINETUNE_TEACHER_MODEL,MIOS_GATEWAY_MODEL,MIOS_HERMES_MODEL,MIOS_MODEL,MIOS_STACK_MODEL
#1A407F	7	true-alias	MIOS_ANSI_4_BLUE,MIOS_COLORS_ACCENT,MIOS_COLORS_ANSI_4_BLUE,MIOS_COLORS_INFO,MIOS_COLOR_ACCENT,MIOS_COLOR_INFO,MIOS_EDITIONS_MIOS_COLORS_ACCENT
high	7	distinct-configurable-fact	MIOS_A2O_LANE_B_EFFORT,MIOS_A2O_LANE_B_FALLBACK_EFFORT,MIOS_A2O_ORCH_EFFORT,MIOS_COMPLIANCE_SEVERITY_GATE,MIOS_FRONTIER_LANE_B_EFFORT,MIOS_FRONTIER_LANE_B_FALLBACK_EFFORT,MIOS_FRONTIER_ORCH_EFFORT
http	7	distinct-configurable-fact	MIOS_AGENTS__DEFAULTS_TRANSPORT,MIOS_CONV_GATEWAY_MODE,MIOS_DESKTOP_START_MENU_CODE_SERVER_SCHEME,MIOS_DESKTOP_START_MENU_FORGE_SCHEME,MIOS_DESKTOP_START_MENU_GUACAMOLE_WEB_SCHEME,MIOS_DESKTOP_START_MENU_HERMES_DASHBOARD_SCHEME,MIOS_DESKTOP_START_MENU_SEARXNG_SCHEME
model	7	distinct-configurable-fact	MIOS_DAEMON_LAUNCH_CLAIM_DETECT,MIOS_DAEMON_REFUSAL_DETECT,MIOS_DISPATCH_FANOUT_SELECT_MODE,MIOS_PGVECTOR_MEMGUARD_JUDGE_MODE,MIOS_PG_MEMGUARD_JUDGE_MODE,MIOS_PREFILTER_CONVERSATIONAL_BYPASS_MODE,MIOS_ROUTING_PREFILTER_CONVERSATIONAL_BYPASS_MODE
#F35C15	6	true-alias	MIOS_ANSI_3_YELLOW,MIOS_COLORS_ANSI_3_YELLOW,MIOS_COLORS_CURSOR,MIOS_COLORS_WARNING,MIOS_COLOR_CURSOR,MIOS_COLOR_WARNING
0.0	6	distinct-configurable-fact	MIOS_AGENTS__DEFAULTS_TRUST_MIN_REPUTATION,MIOS_COST_BUDGET_USD,MIOS_COST_REMOTE_USD_PER_MTOK,MIOS_COST_USD_PER_KWH,MIOS_GOSSIP_MIN_TRUST,MIOS_SELFIMPROVE_ACCEPT_MARGIN
6	6	distinct-configurable-fact	MIOS_DAEMON_INDEX_MAX_DEPTH,MIOS_DISPATCH_DEEPEN_JUDGE_TIMEOUT_S,MIOS_FIND_CATEGORY_PRIORITY_MIOS_SHIM,MIOS_PREFILTER_CLASSIFY_TIMEOUT_S,MIOS_ROUTING_PREFILTER_CLASSIFY_TIMEOUT_S,MIOS_WEB_RESEARCH_TOP_N
60	6	distinct-configurable-fact	MIOS_ADGUARD_CACHE_MIN_TTL,MIOS_DISPATCH_DEEPEN_DEADLINE_S,MIOS_DISPATCH_RERANK_RRF_K,MIOS_PLANNER_SHORT_PROMPT_CHARS,MIOS_REFINE_DISPATCH_CHARS,MIOS_SKILLS_MINE_INTERVAL_MINUTES
90	6	distinct-configurable-fact	MIOS_AGENTS_OPENCODE_TIMEOUT_S,MIOS_AGENT_PIPE_WALL_CLOCK_BUDGET_S,MIOS_CONV_MEMORY_COLD_RETENTION_DAYS,MIOS_DAEMON_PRESSURE_GPU_UTIL_CEIL,MIOS_KNOWLEDGE_EVICT_TTL_DAYS,MIOS_OPENCODE_TIMEOUT_S
claude	6	true-alias	MIOS_A2O_LANE_A_ENGINE,MIOS_A2O_LANE_B_FALLBACK_ENGINE,MIOS_A2O_ORCH_ENGINE,MIOS_FRONTIER_LANE_A_ENGINE,MIOS_FRONTIER_LANE_B_FALLBACK_ENGINE,MIOS_FRONTIER_ORCH_ENGINE
http://localhost:${MIOS_PORT_SGLANG}/v1	6	true-alias	MIOS_AGENTS_HERMES_CPU_ENDPOINT,MIOS_AGENTS_MIOS_DAEMON_AGENT_ENDPOINT,MIOS_NODES_LOCAL_CPU_ENDPOINT,MIOS_NODES_LOCAL_DGPU_ENDPOINT,MIOS_NODES_LOCAL_LLAMASWAP_ENDPOINT,MIOS_NODES_LOCAL_SGLANG_ENDPOINT
nomic-embed-text	6	true-alias	MIOS_AI_EMBED_MODEL,MIOS_PGVECTOR_EMBED_MODEL,MIOS_PGVECTOR_EMB_MODEL,MIOS_PG_EMBED_MODEL,MIOS_PG_EMB_MODEL,MIOS_VERB_EMBED_MODEL
#282262	5	true-alias	MIOS_ANSI_0_BLACK,MIOS_COLORS_ANSI_0_BLACK,MIOS_COLORS_BG,MIOS_COLOR_BG,MIOS_EDITIONS_MIOS_XBOX_COLORS_ACCENT
--new-window	5	true-alias	MIOS_BROWSER_FLAGS_CHROMIUM_NEW_WINDOW,MIOS_BROWSER_FLAGS_CHROMIUM_WINDOW,MIOS_BROWSER_FLAGS_EPIPHANY_NEW_WINDOW,MIOS_BROWSER_FLAGS_EPIPHANY_WINDOW,MIOS_BROWSER_FLAGS_FIREFOX_WINDOW
10	5	distinct-configurable-fact	MIOS_CONV_MEMORY_COLD_ZSTD_LEVEL,MIOS_DAEMON_CLASSIFY_LIMIT_PER_MIN,MIOS_DAEMON_QUIESCENCE_WINDOW_MIN,MIOS_PLANNER_SHORT_PROMPT_WORDS,MIOS_SCHED_COMPLEXITY_CAP
127.0.0.1	5	intentional-many-to-one	MIOS_COMPUTER_USE_BIND_ADDRESS,MIOS_PGVECTOR_HOST,MIOS_PG_BIND_ADDR,MIOS_PG_HOST,MIOS_TTYD_BIND
20	5	distinct-configurable-fact	MIOS_AGENT_PIPE_TOOL_LOOP_LIMIT,MIOS_DAEMON_REFUSAL_LIMIT_PER_MIN,MIOS_DISPATCH_DEEPEN_WEB_TIMEOUT_S,MIOS_MEMORY_COMPACTION_INTERVAL,MIOS_TERMINAL_ROWS
8.0	5	distinct-configurable-fact	MIOS_DAEMON_PRESSURE_LOAD_CEIL,MIOS_DISPATCH_ADMIT_MAX_WAIT,MIOS_DISPATCH_RR_QUANTUM_S,MIOS_SCHEDULER_QUANTUM_S,MIOS_SLO_INTERACTIVE_BUDGET_S
80	5	distinct-configurable-fact	MIOS_BRANDING_DASHBOARD_FRAME_WIDTH_COLS,MIOS_MEMORY_COMPACTION_THRESHOLD_PCT,MIOS_TERMINAL_COLS,MIOS_TERMINAL_FRAME_WIDTH,MIOS_TERMINAL_INSTALL_COLS
hermes	5	distinct-configurable-fact	MIOS_AGENTS_MIOS_DAEMON_AGENT_FAILOVER_AGENTS,MIOS_AGENTS_OPENCODE_FAILOVER_AGENTS,MIOS_LANES_LIGHT_TOOL_CALL_PARSER,MIOS_LANES_VLLM_TOOL_CALL_PARSER,MIOS_VLLM_TOOL_CALL_PARSER
host	5	distinct-configurable-fact	MIOS_PODS_MIOS_AI_NETWORK,MIOS_PODS_MIOS_SYSTEM_NETWORK,MIOS_PODS_MIOS_WEBTOOLS_NETWORK,MIOS_QUADLET_DEV_NETWORK_MODE,MIOS_WSL2_DEV_VM_QUADLET_NETWORK_MODE
main	5	distinct-configurable-fact	MIOS_BRANCH,MIOS_BUILD_BAKE_REFS_HYPRLAND,MIOS_GITCONFIG_INIT_DEFAULT_BRANCH,MIOS_HERMES_AGENT_REF,MIOS_OPEN_WEBUI_VERSION
mios-html	5	distinct-configurable-fact	MIOS_FIND_ALIASES_CONFIGURATOR,MIOS_FIND_ALIASES_CUSTOMIZE,MIOS_FIND_ALIASES_MIOSCONFIG,MIOS_FIND_ALIASES_MIOS_HTML,MIOS_FIND_ALIASES_MIOS_SETTINGS
mios-md	5	distinct-configurable-fact	MIOS_FIND_ALIASES_MARKDOWN,MIOS_FIND_ALIASES_MD,MIOS_FIND_ALIASES_NOTES,MIOS_FIND_ALIASES_PREVIEW_MD,MIOS_FIND_ALIASES_RENDER_MD
mios-screenshot	5	distinct-configurable-fact	MIOS_FIND_ALIASES_PRTSCR,MIOS_FIND_ALIASES_SCREENCAP,MIOS_FIND_ALIASES_SCREENSHOT,MIOS_FIND_ALIASES_SCREEN_CAPTURE,MIOS_FIND_ALIASES_SNAP
mios-window	5	intentional-many-to-one	MIOS_FIND_ALIASES_CENTER_WINDOW,MIOS_FIND_ALIASES_FOCUS_WINDOW,MIOS_FIND_ALIASES_MOVE_WINDOW,MIOS_FIND_ALIASES_WINDOW,MIOS_FIND_ALIASES_WINDOWS_MGR
openai	5	true-alias	MIOS_NODES_LOCAL_CPU_API,MIOS_NODES_LOCAL_DGPU_API,MIOS_NODES_LOCAL_LLAMASWAP_API,MIOS_NODES_LOCAL_SGLANG_API,MIOS_NODES_LOCAL_VLLM_API
#3E7765	4	true-alias	MIOS_ANSI_2_GREEN,MIOS_COLORS_ANSI_2_GREEN,MIOS_COLORS_SUCCESS,MIOS_COLOR_SUCCESS
#734F39	4	true-alias	MIOS_ANSI_5_MAGENTA,MIOS_COLORS_ANSI_5_MAGENTA,MIOS_COLORS_EARTH,MIOS_COLOR_EARTH
#948E8E	4	true-alias	MIOS_ANSI_8_BRIGHT_BLACK,MIOS_COLORS_ANSI_8_BRIGHT_BLACK,MIOS_COLORS_MUTED,MIOS_COLOR_MUTED
#B7C9D7	4	true-alias	MIOS_ANSI_6_CYAN,MIOS_COLORS_ANSI_6_CYAN,MIOS_COLORS_SUBTLE,MIOS_COLOR_SUBTLE
#DC271B	4	true-alias	MIOS_ANSI_1_RED,MIOS_COLORS_ANSI_1_RED,MIOS_COLORS_ERROR,MIOS_COLOR_ERROR
#E0E0E0	4	true-alias	MIOS_ANSI_14_BRIGHT_CYAN,MIOS_COLORS_ANSI_14_BRIGHT_CYAN,MIOS_COLORS_SILVER,MIOS_COLOR_SILVER
#E7DFD3	4	true-alias	MIOS_ANSI_7_WHITE,MIOS_COLORS_ANSI_7_WHITE,MIOS_COLORS_FG,MIOS_COLOR_FG
0000:01:00.0	4	true-alias	MIOS_EDITIONS_MIOS_MINI_GPU_ASSIGNMENTS_MIOS_GUEST,MIOS_EDITIONS_MIOS_XBOX_ARM_MINI_GPU_ASSIGNMENTS_MIOS_GUEST,MIOS_EDITIONS_MIOS_XBOX_MINI_GPU_ASSIGNMENTS_MIOS_GUEST,MIOS_MINI_GPU_ASSIGNMENTS_MIOS_GUEST
10.89.0.0/24	4	true-alias	MIOS_CORE_NET_SUBNET,MIOS_NETWORK_QUADLET_CORE_SUBNET,MIOS_NETWORK_QUADLET_SUBNET,MIOS_QUADLET_SUBNET
15	4	distinct-configurable-fact	MIOS_AGENT_PIPE_TOOL_MAX_ITERS,MIOS_DAEMON_INDEX_INTERVAL_MIN,MIOS_DEV_VM_CPU_RESERVE_PCT,MIOS_DEV_VM_MEMORY_RESERVE_PCT
24	4	distinct-configurable-fact	MIOS_APPEARANCE_CURSOR_SIZE,MIOS_DISPATCH_RERANK_MIN_K,MIOS_FINETUNE_MIN_EXAMPLES,MIOS_REFINE_BYPASS_CHARS
300	4	distinct-configurable-fact	MIOS_A2A_MDNS_REFRESH_SEC,MIOS_DAEMON_CALM_MAX_TICK_S,MIOS_GATEWAY_MCP_REFRESH_SECONDS,MIOS_GATEWAY_SKILL_REFRESH_SECONDS
45	4	distinct-configurable-fact	MIOS_POLISH_TIMEOUT_S,MIOS_POLISH_TIMEOUT_SECONDS,MIOS_REFINE_TIMEOUT_S,MIOS_REFINE_TIMEOUT_SECONDS
600	4	true-alias	MIOS_CEPHFS_AUTOMOUNT_IDLE_TIMEOUT_S,MIOS_DAEMON_CLASSIFY_DEDUP_S,MIOS_DISPATCH_TURN_DEADLINE_S,MIOS_STORAGE_CEPHFS_AUTOMOUNT_IDLE_TIMEOUT_S
7	4	distinct-configurable-fact	MIOS_FIND_CATEGORY_PRIORITY_SERVICE_URL,MIOS_FORGE_RUNNER_VERSION,MIOS_PGVECTOR_BACKUP_KEEP,MIOS_PG_BACKUP_KEEP
816	4	distinct-configurable-fact	MIOS_FORGE_GID,MIOS_FORGE_UID,MIOS_SERVICES_FORGE_GID,MIOS_SERVICES_FORGE_UID
817	4	distinct-configurable-fact	MIOS_OPEN_WEBUI_GID,MIOS_OPEN_WEBUI_UID,MIOS_SERVICES_OPEN_WEBUI_GID,MIOS_SERVICES_OPEN_WEBUI_UID
818	4	distinct-configurable-fact	MIOS_SEARXNG_GID,MIOS_SEARXNG_UID,MIOS_SERVICES_SEARXNG_GID,MIOS_SERVICES_SEARXNG_UID
819	4	distinct-configurable-fact	MIOS_CEPH_GID,MIOS_CEPH_UID,MIOS_SERVICES_CEPH_GID,MIOS_SERVICES_CEPH_UID
820	4	distinct-configurable-fact	MIOS_HERMES_GID,MIOS_HERMES_UID,MIOS_SERVICES_HERMES_GID,MIOS_SERVICES_HERMES_UID
822	4	distinct-configurable-fact	MIOS_AGENT_PIPE_GID,MIOS_AGENT_PIPE_UID,MIOS_SERVICES_AGENT_PIPE_GID,MIOS_SERVICES_AGENT_PIPE_UID
824	4	distinct-configurable-fact	MIOS_SERVICES_WEBTOOLS_GID,MIOS_SERVICES_WEBTOOLS_UID,MIOS_WEBTOOLS_GID,MIOS_WEBTOOLS_UID
825	4	distinct-configurable-fact	MIOS_ADGUARD_GID,MIOS_ADGUARD_UID,MIOS_SERVICES_ADGUARD_GID,MIOS_SERVICES_ADGUARD_UID
826	4	distinct-configurable-fact	MIOS_PGVECTOR_GID,MIOS_PGVECTOR_UID,MIOS_SERVICES_PGVECTOR_GID,MIOS_SERVICES_PGVECTOR_UID
827	4	distinct-configurable-fact	MIOS_LLAMACPP_GID,MIOS_LLAMACPP_UID,MIOS_SERVICES_LLAMACPP_GID,MIOS_SERVICES_LLAMACPP_UID
828	4	distinct-configurable-fact	MIOS_CODEMODE_GID,MIOS_CODEMODE_UID,MIOS_CODE_MODE_GID,MIOS_CODE_MODE_UID
8642	4	distinct-configurable-fact	MIOS_GATEWAY_PORT,MIOS_HERMES_PORT,MIOS_PORTS_HERMES,MIOS_PORT_HERMES
MiOS	4	distinct-configurable-fact	MIOS_APPS_HUB_SHORTCUT_NAME,MIOS_APPS_START_MENU_FOLDER,MIOS_DEVELOPER,MIOS_WSL_DISTRO
claude-sonnet-5	4	true-alias	MIOS_A2O_LANE_B_FALLBACK_MODEL,MIOS_A2O_ORCH_MODEL,MIOS_FRONTIER_LANE_B_FALLBACK_MODEL,MIOS_FRONTIER_ORCH_MODEL
http://localhost:${MIOS_PORT_LLM_LIGHT}	4	distinct-configurable-fact	MIOS_FINETUNE_TEACHER_ENDPOINT,MIOS_HERMES_BACKEND,MIOS_POLISH_ENDPOINT,MIOS_REFINE_ENDPOINT
max	4	distinct-configurable-fact	MIOS_DEV_VM_CPUS,MIOS_DEV_VM_DISK_GB,MIOS_DEV_VM_GPU,MIOS_DEV_VM_MEMORY_MB
md	4	true-alias	MIOS_TEMPLATES_ADR_COMMENT,MIOS_TEMPLATES_MARKDOWN_DOC_COMMENT,MIOS_TEMPLATES_ROADMAP_COMMENT,MIOS_TEMPLATES_ROADMAP_WS_COMMENT
mios-installer	4	distinct-configurable-fact	MIOS_FIND_ALIASES_INSTALL,MIOS_FIND_ALIASES_INSTALLER,MIOS_FIND_ALIASES_PACKAGE,MIOS_FIND_ALIASES_WINGET
mios-steamcmd	4	distinct-configurable-fact	MIOS_FIND_ALIASES_STEAMCMD,MIOS_FIND_ALIASES_STEAM_CMD,MIOS_FIND_ALIASES_STEAM_GAME,MIOS_FIND_ALIASES_STEAM_INSTALL
network-online.target	4	distinct-configurable-fact	MIOS_PODS_MIOS_AI_AFTER,MIOS_PODS_MIOS_AI_WANTS,MIOS_PODS_MIOS_SYSTEM_AFTER,MIOS_PODS_MIOS_SYSTEM_WANTS
reasoning	4	distinct-configurable-fact	MIOS_AGENTS_MIOS_DAEMON_AGENT_ROLE,MIOS_OBSERVABILITY_CHANNELS_PLAN,MIOS_OBSERVABILITY_CHANNELS_THINKING,MIOS_OBSERVABILITY_CHANNELS_TOOL_RESULT
static	4	true-alias	MIOS_EDITIONS_MIOS_MINI_GPU_ARBITRATION,MIOS_EDITIONS_MIOS_XBOX_ARM_MINI_GPU_ARBITRATION,MIOS_EDITIONS_MIOS_XBOX_MINI_GPU_ARBITRATION,MIOS_MINI_GPU_ARBITRATION
window_visible	4	distinct-configurable-fact	MIOS_DAEMON_POST_CHECK_FOCUS_WINDOW,MIOS_DAEMON_POST_CHECK_LAUNCH_APP,MIOS_DAEMON_POST_CHECK_OPEN_APP,MIOS_DAEMON_POST_CHECK_OPEN_URL
/bin/bash	3	true-alias	MIOS_DEFAULT_SHELL,MIOS_IDENTITY_SHELL,MIOS_USER_SHELL
0.05	3	distinct-configurable-fact	MIOS_DISPATCH_BATCH_INTERVAL_S,MIOS_FINETUNE_LORA_DROPOUT,MIOS_KNOWLEDGE_RANK_OUTCOME
0.34	3	distinct-configurable-fact	MIOS_ANTIFAB_GROUND_MIN,MIOS_FIND_RANKER_FUZZY_MAX_EDIT_RATIO,MIOS_VERITY_ANTIFAB_GROUND_MIN
0.85	3	distinct-configurable-fact	MIOS_SGLANG_MEM_FRACTION,MIOS_SKILLS_AUTO_PROMOTE_THRESHOLD,MIOS_VLLM_GPU_UTIL
14	3	distinct-configurable-fact	MIOS_CPU_NODE_THREADS,MIOS_LLAMACPP_CPU_NODE_THREADS,MIOS_TTYD_FONT_SIZE
16	3	distinct-configurable-fact	MIOS_DISPATCH_DEFAULT_TOOL_CAP,MIOS_DISPATCH_GLOBAL_CONCURRENCY,MIOS_FINETUNE_LORA_R
200	3	distinct-configurable-fact	MIOS_CRAWL_MIN_CHARS,MIOS_PKG_BOOTSTRAP_PER_SOURCE_CAP,MIOS_SERVICES_WEBTOOLS_MIN_CHARS
30	3	distinct-configurable-fact	MIOS_CEPHFS_CLIENT_RECONNECT_STALE_INTERVAL,MIOS_GATEWAY_MAX_STEPS,MIOS_STORAGE_CEPHFS_CLIENT_RECONNECT_STALE_INTERVAL
40	3	distinct-configurable-fact	MIOS_BUILD_BAKE_RUNNER_DISK_BUDGET_GB,MIOS_REFINE_CHAT_CHARS,MIOS_TERMINAL_INSTALL_ROWS
50	3	distinct-configurable-fact	MIOS_PGVECTOR_BACKFILL_BATCH,MIOS_PG_BACKFILL_BATCH,MIOS_TERMINAL_READING_ROWS
512	3	distinct-configurable-fact	MIOS_CAT_DATA_PARTITION_MIN_DISK_GB,MIOS_DISPATCH_LLM_NUM_PREDICT_CAP_CPU,MIOS_DISPATCH_RR_SLICE_TOKENS
64	3	distinct-configurable-fact	MIOS_CONV_GATEWAY_QUEUE_MAXSIZE,MIOS_DISPATCH_SOURCES_REGISTRY_CAP,MIOS_SCHEDULER_QUEUE_MAX_TURNS
7.0	3	distinct-configurable-fact	MIOS_KNOWLEDGE_RECALL_HALFLIFE_DAYS,MIOS_SLO_DEFAULT_PRIORITY,MIOS_SLO_INTERACTIVE_PRIORITY
8000	3	distinct-configurable-fact	MIOS_CODEMODE_MAX_OUTPUT_CHARS,MIOS_CODE_MODE_MAX_OUTPUT_CHARS,MIOS_MEMORY_N_CTX
8090	3	distinct-configurable-fact	MIOS_COCKPIT_PORT,MIOS_PORTS_COCKPIT,MIOS_PORT_COCKPIT
8300	3	distinct-configurable-fact	MIOS_FORGE_HTTP_PORT,MIOS_PORTS_FORGE_HTTP,MIOS_PORT_FORGE_HTTP
8301	3	distinct-configurable-fact	MIOS_FORGE_SSH_PORT,MIOS_PORTS_FORGE_SSH,MIOS_PORT_FORGE_SSH
